verse_id	composite	signal_1	signal_2	signal_3	signal_4	signal_5	needs_retry	coverage_flagged	structural_errors	article_neq	semantic_low_sim	acai_unaligned	smear_1toN	smear_1toN_delta
62002001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	True	False	0	0	1	0	0	
62002005	0.0107	0.0000	0.0000	0.0714	0.0000	0.0000	True	False	0	1	0	0	0	
62002007	0.0034	0.0000	0.0000	0.0225	0.0000	0.0000	True	False	0	2	0	0	0	
62002008	0.0383	0.0000	0.0800	0.1487	0.0000	0.0000	True	False	0	3	0	0	0	
62002009	0.0172	0.0000	0.0000	0.1145	0.0000	0.0000	True	False	0	3	0	0	0	
62002010	0.0192	0.0769	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002011	0.0801	0.0380	0.0000	0.0000	0.1765	0.0000	True	True	0	0	0	0	0	
62002013	0.0703	0.1531	0.1600	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002018	0.0250	0.1000	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002019	0.0280	0.1119	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002020	0.0125	0.0500	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002021	0.1604	0.1328	0.0435	0.0000	0.2963	0.5152	True	True	0	0	0	0	0	
62002022	0.0016	0.0000	0.0000	0.0108	0.0000	0.0000	True	False	0	1	0	0	0	
62002024	0.1323	0.0633	0.1379	0.0000	0.2222	0.0488	True	True	0	0	0	0	0	
62002027	0.2747	0.1653	0.0000	0.0000	0.5833	2.4103	True	True	0	0	0	0	1	-0.2497
62002028	0.0820	0.2049	0.1538	0.0000	0.0000	0.0000	True	True	0	0	0	0	1	+0.1988
62002029	0.0599	0.1505	0.1111	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
