verse_id	composite	signal_1	signal_2	signal_3	signal_4	signal_5	needs_retry	coverage_flagged	structural_errors	article_neq	semantic_low_sim	acai_unaligned	smear_1toN	smear_1toN_delta
62002001	0.2072	0.1533	0.3226	0.0000	0.2609	0.0000	True	True	0	0	1	2	0	
62002002	0.1981	0.0180	0.0000	0.0000	0.4839	0.0000	True	False	0	0	0	0	0	
62002003	0.0379	0.1515	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002005	0.0626	0.1048	0.1818	0.0000	0.0000	0.0000	True	True	0	0	0	1	0	
62002006	0.1542	0.3500	0.3333	0.0000	0.0000	0.0000	True	True	0	0	0	1	0	
62002007	0.3118	0.3442	0.3462	0.0000	0.3913	0.0000	True	True	0	0	0	2	0	
62002008	0.1403	0.1293	0.0400	0.0000	0.2500	0.0000	True	True	0	0	0	1	0	
62002009	0.4673	0.1485	0.2222	0.0000	0.9643	0.3994	True	True	0	1	0	0	0	
62002010	0.5658	0.4396	0.4615	0.0000	0.9091	1.1287	True	True	0	0	1	2	0	
62002011	0.3902	0.2468	0.2308	0.0000	0.7059	0.0000	True	True	0	0	0	0	0	
62002012	0.2862	0.0274	0.2857	0.0000	0.5556	0.0000	True	False	0	0	0	0	0	
62002013	0.1842	0.4490	0.3600	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002014	0.1887	0.4880	0.3333	0.0000	0.0000	0.0000	True	True	0	0	0	2	2	-0.2689
62002015	0.1889	0.1532	0.1905	0.0000	0.2812	0.0000	True	True	0	0	0	0	0	
62002016	0.2832	0.5128	0.3462	0.0000	0.2143	0.0000	True	True	0	0	1	4	0	
62002017	0.1112	0.0891	0.4444	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002018	0.2825	0.0125	0.1429	0.0000	0.6270	0.0000	True	False	0	0	0	0	0	
62002019	0.3657	0.0140	0.0800	0.0000	0.8654	0.0000	True	False	0	0	0	0	0	
62002020	0.4083	0.0333	0.0000	0.0000	1.0000	0.0000	True	False	0	0	0	0	0	
62002021	0.0904	0.1875	0.2174	0.0000	0.0000	0.0000	True	True	0	0	1	0	0	
62002022	0.1309	0.5235	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	2	0	
62002023	0.0858	0.2364	0.1333	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002024	0.1597	0.3354	0.3793	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
62002025	0.0959	0.3836	0.0000	0.0000	0.0000	0.0000	True	True	0	0	0	1	0	
62002027	0.1453	0.2218	0.0732	0.0015	0.1875	0.0000	True	True	0	0	1	0	0	
62002028	0.3556	0.1393	0.0385	0.0000	0.7826	0.0000	True	True	0	0	0	0	0	
62002029	0.1349	0.1398	0.5000	0.0000	0.0000	0.0000	True	True	0	0	0	0	0	
